internal_id,string_external_id,abundance
4434183,9606.ENSP00000251595,28406
4439524,9606.ENSP00000322421,28406
4437206,9606.ENSP00000295897,26338
4440511,9606.ENSP00000333994,23036
4433451,9606.ENSP00000229239,9551
4445365,9606.ENSP00000369654,7822
4448813,9606.ENSP00000416066,6510
4444463,9606.ENSP00000363988,5710
4434216,9606.ENSP00000252244,5684
4435927,9606.ENSP00000270142,5655
4450181,9606.ENSP00000446007,5482
4434854,9606.ENSP00000261313,5364
4433993,9606.ENSP00000246662,5144
4449678,9606.ENSP00000433560,5132
4445428,9606.ENSP00000370010,4825
4446582,9606.ENSP00000379895,4727
4446501,9606.ENSP00000379386,4607
4450595,9606.ENSP00000458162,4528
4441991,9606.ENSP00000349960,4482
4435898,9606.ENSP00000269576,4127
4444869,9606.ENSP00000366525,3965
4443929,9606.ENSP00000361471,3774
4449041,9606.ENSP00000419425,3729
4437770,9606.ENSP00000301522,3642
4437198,9606.ENSP00000295834,3637
4434247,9606.ENSP00000252699,3577
4433634,9606.ENSP00000234590,3504
4445814,9606.ENSP00000373620,3426
4433675,9606.ENSP00000237014,3408
4433668,9606.ENSP00000236850,3142
4450194,9606.ENSP00000446252,3062
4435133,9606.ENSP00000262746,3023
4447279,9606.ENSP00000385834,2966
4434993,9606.ENSP00000262030,2954
4436127,9606.ENSP00000274353,2899
4436619,9606.ENSP00000285093,2800
4446852,9606.ENSP00000381736,2774
4434059,9606.ENSP00000248553,2693
4444160,9606.ENSP00000362413,2634
4440919,9606.ENSP00000339063,2579
4451107,9606.ENSP00000474560,2562
4445798,9606.ENSP00000373477,2542
4437495,9606.ENSP00000298510,2372
4443119,9606.ENSP00000357535,2344
4449553,9606.ENSP00000430656,2312
4433456,9606.ENSP00000229270,2306
4450308,9606.ENSP00000450436,2290
4444634,9606.ENSP00000364986,2265
4438640,9606.ENSP00000310861,2250
4433153,9606.ENSP00000221418,2228
4449622,9606.ENSP00000432282,2228
4441216,9606.ENSP00000342026,2182
4446837,9606.ENSP00000381607,2180
4444540,9606.ENSP00000364490,2173
4440308,9606.ENSP00000331897,2157
4436628,9606.ENSP00000285379,2139
4439895,9606.ENSP00000327070,2137
4441580,9606.ENSP00000346032,2055
4441649,9606.ENSP00000346694,1930
4439772,9606.ENSP00000325548,1922
4435651,9606.ENSP00000265838,1873
4448472,9606.ENSP00000408025,1846
4448088,9606.ENSP00000399805,1844
4449639,9606.ENSP00000432660,1838
4438030,9606.ENSP00000304229,1817
4434937,9606.ENSP00000261733,1813
4437626,9606.ENSP00000300060,1800
4449581,9606.ENSP00000431254,1798
4449888,9606.ENSP00000439012,1794
4435671,9606.ENSP00000265983,1748
4451863,9606.ENSP00000484592,1747
4437775,9606.ENSP00000301587,1744
4442353,9606.ENSP00000353408,1737
4450285,9606.ENSP00000449404,1713
4448989,9606.ENSP00000418770,1704
4442166,9606.ENSP00000351619,1686
4432924,9606.ENSP00000216181,1633
4445432,9606.ENSP00000370023,1605
4439914,9606.ENSP00000327336,1605
4437319,9606.ENSP00000296658,1601
4435245,9606.ENSP00000263368,1596
4433873,9606.ENSP00000243997,1591
4442980,9606.ENSP00000356864,1589
4434459,9606.ENSP00000256104,1577
4443752,9606.ENSP00000360522,1571
4446397,9606.ENSP00000378743,1562
4433608,9606.ENSP00000233893,1557
4434387,9606.ENSP00000254810,1548
4442746,9606.ENSP00000355778,1548
4435583,9606.ENSP00000265333,1538
