internal_id,string_external_id,abundance
4446672,9606.ENSP00000380489,15453
4436861,9606.ENSP00000290378,10775
4442723,9606.ENSP00000355645,10392
4448229,9606.ENSP00000402373,9775
4442096,9606.ENSP00000351022,9529
4437206,9606.ENSP00000295897,9019
4447434,9606.ENSP00000386857,8978
4441728,9606.ENSP00000347507,8896
4445033,9606.ENSP00000367542,7799
4433162,9606.ENSP00000221476,7313
4443118,9606.ENSP00000357516,6876
4441502,9606.ENSP00000345230,6860
4440511,9606.ENSP00000333994,6719
4447300,9606.ENSP00000386041,6090
4434183,9606.ENSP00000251595,6089
4444252,9606.ENSP00000362817,6010
4449678,9606.ENSP00000433560,5999
4439524,9606.ENSP00000322421,5877
4433432,9606.ENSP00000228841,5210
4441991,9606.ENSP00000349960,4757
4450595,9606.ENSP00000458162,4709
4433451,9606.ENSP00000229239,4620
4448311,9606.ENSP00000404203,4184
4447538,9606.ENSP00000388107,4034
4446386,9606.ENSP00000378669,3980
4446468,9606.ENSP00000379210,3610
4439337,9606.ENSP00000320171,3583
4434993,9606.ENSP00000262030,3525
4438356,9606.ENSP00000307786,3382
4449041,9606.ENSP00000419425,3369
4434387,9606.ENSP00000254810,3315
4442746,9606.ENSP00000355778,3315
4434059,9606.ENSP00000248553,3314
4441191,9606.ENSP00000341838,3145
4449851,9606.ENSP00000438144,3005
4436430,9606.ENSP00000281456,2900
4440308,9606.ENSP00000331897,2888
4449603,9606.ENSP00000431813,2723
4434216,9606.ENSP00000252244,2671
4445365,9606.ENSP00000369654,2667
4439895,9606.ENSP00000327070,2615
4437770,9606.ENSP00000301522,2613
4446501,9606.ENSP00000379386,2603
4433003,9606.ENSP00000217182,2519
4450086,9606.ENSP00000443495,2512
4433670,9606.ENSP00000236918,2501
4446852,9606.ENSP00000381736,2441
4447410,9606.ENSP00000386665,2307
4433934,9606.ENSP00000245503,2293
4432936,9606.ENSP00000216254,2290
4433356,9606.ENSP00000226207,2232
4439661,9606.ENSP00000324105,2230
4450840,9606.ENSP00000467141,2227
4434854,9606.ENSP00000261313,2210
4445428,9606.ENSP00000370010,2184
4441217,9606.ENSP00000342056,2175
4441138,9606.ENSP00000341289,2144
4444122,9606.ENSP00000362271,2138
4436015,9606.ENSP00000272317,2118
4444297,9606.ENSP00000363071,2106
4440915,9606.ENSP00000339001,2071
4450739,9606.ENSP00000464317,2058
4433993,9606.ENSP00000246662,2020
4433634,9606.ENSP00000234590,2011
4440919,9606.ENSP00000339063,2004
4435133,9606.ENSP00000262746,2000
4445814,9606.ENSP00000373620,1997
4434429,9606.ENSP00000255381,1952
4435898,9606.ENSP00000269576,1897
4435651,9606.ENSP00000265838,1895
4437548,9606.ENSP00000299198,1891
4445546,9606.ENSP00000370808,1884
4449639,9606.ENSP00000432660,1852
4445357,9606.ENSP00000369609,1841
4433570,9606.ENSP00000232975,1806
4443780,9606.ENSP00000360671,1791
4435927,9606.ENSP00000270142,1783
4442473,9606.ENSP00000354488,1782
4447104,9606.ENSP00000384330,1754
4450866,9606.ENSP00000468057,1733
4445375,9606.ENSP00000369703,1727
4448328,9606.ENSP00000404570,1695
4433923,9606.ENSP00000245206,1685
4437464,9606.ENSP00000298159,1677
4434727,9606.ENSP00000259818,1676
4433130,9606.ENSP00000220764,1656
4435372,9606.ENSP00000264071,1612
4443556,9606.ENSP00000359539,1593
4444160,9606.ENSP00000362413,1568
4448989,9606.ENSP00000418770,1565
4450181,9606.ENSP00000446007,1553
4439742,9606.ENSP00000325136,1539
4445432,9606.ENSP00000370023,1535
4448174,9606.ENSP00000401437,1510
4439919,9606.ENSP00000327431,1485
4440737,9606.ENSP00000336799,1476
4438070,9606.ENSP00000304697,1476
4450366,9606.ENSP00000451712,1458
4433608,9606.ENSP00000233893,1414
4441599,9606.ENSP00000346173,1405
4448813,9606.ENSP00000416066,1403
4450058,9606.ENSP00000442795,1401
4437386,9606.ENSP00000297283,1396
4448843,9606.ENSP00000416706,1385
4435104,9606.ENSP00000262551,1381
4433456,9606.ENSP00000229270,1365
4442694,9606.ENSP00000355518,1358
4434056,9606.ENSP00000248437,1350
4437495,9606.ENSP00000298510,1335
4443625,9606.ENSP00000359871,1323
4436619,9606.ENSP00000285093,1320
4440399,9606.ENSP00000332790,1320
4450403,9606.ENSP00000452762,1287
4446480,9606.ENSP00000379287,1277
4441634,9606.ENSP00000346550,1255
4437720,9606.ENSP00000301071,1251
4449695,9606.ENSP00000434024,1249
4449616,9606.ENSP00000432083,1228
4443964,9606.ENSP00000361635,1227
4449928,9606.ENSP00000440045,1208
4449897,9606.ENSP00000439189,1202
4432813,9606.ENSP00000205402,1195
4432629,9606.ENSP00000052754,1191
4451107,9606.ENSP00000474560,1188
4437379,9606.ENSP00000297258,1172
4437358,9606.ENSP00000297012,1169
4450215,9606.ENSP00000446955,1168
4443119,9606.ENSP00000357535,1163
4442229,9606.ENSP00000352252,1158
4443272,9606.ENSP00000358160,1158
4444939,9606.ENSP00000366999,1158
4451529,9606.ENSP00000480826,1158
4451655,9606.ENSP00000482271,1158
4451757,9606.ENSP00000483283,1158
4451830,9606.ENSP00000484095,1158
4451871,9606.ENSP00000484638,1158
4451875,9606.ENSP00000484658,1158
4451891,9606.ENSP00000484841,1158
4435415,9606.ENSP00000264335,1156
4437721,9606.ENSP00000301072,1144
4441512,9606.ENSP00000345347,1140
4449888,9606.ENSP00000439012,1128
4443770,9606.ENSP00000360609,1127
4446837,9606.ENSP00000381607,1124
4450194,9606.ENSP00000446252,1122
4441116,9606.ENSP00000341094,1115
4438640,9606.ENSP00000310861,1112
4442654,9606.ENSP00000355330,1111
4440028,9606.ENSP00000328484,1111
4442159,9606.ENSP00000351589,1111
4442214,9606.ENSP00000352119,1111
4442276,9606.ENSP00000352627,1111
4444893,9606.ENSP00000366679,1111
4451672,9606.ENSP00000482431,1111
4451686,9606.ENSP00000482538,1111
4449876,9606.ENSP00000438553,1111
4446235,9606.ENSP00000377710,1111
4435471,9606.ENSP00000264663,1102
4433361,9606.ENSP00000226253,1092
4443270,9606.ENSP00000358155,1089
4451142,9606.ENSP00000475814,1089
4440336,9606.ENSP00000332194,1089
4437955,9606.ENSP00000303373,1083
4442727,9606.ENSP00000355656,1083
4451813,9606.ENSP00000483842,1083
4444942,9606.ENSP00000367022,1079
4436950,9606.ENSP00000292169,1078
4448429,9606.ENSP00000406773,1075
4438211,9606.ENSP00000306330,1074
4442560,9606.ENSP00000354876,1069
4444948,9606.ENSP00000367034,1068
4451152,9606.ENSP00000476136,1061
4451211,9606.ENSP00000477527,1060
4443268,9606.ENSP00000358151,1060
4451707,9606.ENSP00000482674,1060
4450571,9606.ENSP00000457513,1055
4448366,9606.ENSP00000405573,1052
4440440,9606.ENSP00000333277,1049
4443269,9606.ENSP00000358154,1049
4447238,9606.ENSP00000385479,1049
4438836,9606.ENSP00000313050,1044
4444265,9606.ENSP00000362924,1023
4441873,9606.ENSP00000348924,1015
4450736,9606.ENSP00000464265,1012
4442006,9606.ENSP00000350052,1005
4446196,9606.ENSP00000377446,1000
4440643,9606.ENSP00000335153,997
4433153,9606.ENSP00000221418,997
4439640,9606.ENSP00000323856,996
4441686,9606.ENSP00000347055,995
4449475,9606.ENSP00000428895,990
4441580,9606.ENSP00000346032,989
4435583,9606.ENSP00000265333,984
4432857,9606.ENSP00000215375,984
4432991,9606.ENSP00000216962,969
4448216,9606.ENSP00000402103,964
4441923,9606.ENSP00000349430,963
4451366,9606.ENSP00000479169,963
4439472,9606.ENSP00000321744,963
4444932,9606.ENSP00000366962,963
4450164,9606.ENSP00000445633,963
4451751,9606.ENSP00000483237,963
4436804,9606.ENSP00000289316,963
4451252,9606.ENSP00000477907,963
4451817,9606.ENSP00000483903,963
4433901,9606.ENSP00000244537,958
4441692,9606.ENSP00000347168,958
4444931,9606.ENSP00000366956,958
4444934,9606.ENSP00000366974,958
4450064,9606.ENSP00000443017,958
4450668,9606.ENSP00000462355,958
4450676,9606.ENSP00000462667,958
4451358,9606.ENSP00000479106,958
4451392,9606.ENSP00000479461,958
4451423,9606.ENSP00000479794,958
4451542,9606.ENSP00000480960,958
4451586,9606.ENSP00000481486,958
4451886,9606.ENSP00000484789,958
4441649,9606.ENSP00000346694,955
4439666,9606.ENSP00000324173,954
4443642,9606.ENSP00000359991,950
4435610,9606.ENSP00000265462,950
4449694,9606.ENSP00000433999,950
4439526,9606.ENSP00000322439,948
4432796,9606.ENSP00000203407,942
4433989,9606.ENSP00000246554,941
4437376,9606.ENSP00000297185,936
4451599,9606.ENSP00000481622,933
4432889,9606.ENSP00000215909,930
4439221,9606.ENSP00000318697,929
4439815,9606.ENSP00000326042,928
4446977,9606.ENSP00000382982,928
4435820,9606.ENSP00000268379,928
4433097,9606.ENSP00000219599,916
4441378,9606.ENSP00000343924,914
4437297,9606.ENSP00000296511,914
4442980,9606.ENSP00000356864,913
4450175,9606.ENSP00000445831,912
4449878,9606.ENSP00000438689,911
4445463,9606.ENSP00000370223,908
4437274,9606.ENSP00000296417,898
4438410,9606.ENSP00000308405,898
4441216,9606.ENSP00000342026,896
4434459,9606.ENSP00000256104,895
4441551,9606.ENSP00000345771,881
4445276,9606.ENSP00000369134,880
4440446,9606.ENSP00000333326,876
4443374,9606.ENSP00000358737,876
4443076,9606.ENSP00000357283,871
4437672,9606.ENSP00000300527,871
4446860,9606.ENSP00000381785,866
4442518,9606.ENSP00000354681,860
4439527,9606.ENSP00000322450,857
4448963,9606.ENSP00000418428,855
4441668,9606.ENSP00000346921,846
4446270,9606.ENSP00000377941,845
4451378,9606.ENSP00000479284,839
4444884,9606.ENSP00000366618,838
4434247,9606.ENSP00000252699,835
4444040,9606.ENSP00000361930,833
4434025,9606.ENSP00000247665,833
4435725,9606.ENSP00000266718,825
4450530,9606.ENSP00000456206,815
4444555,9606.ENSP00000364567,814
4442353,9606.ENSP00000353408,814
4442801,9606.ENSP00000356042,812
4436718,9606.ENSP00000287295,808
4446979,9606.ENSP00000383003,794
4439188,9606.ENSP00000318197,790
4441868,9606.ENSP00000348849,789
4438184,9606.ENSP00000306003,786
4433326,9606.ENSP00000225655,786
4432761,9606.ENSP00000196371,786
4448034,9606.ENSP00000398610,782
4436920,9606.ENSP00000291568,777
4449816,9606.ENSP00000437402,774
4441938,9606.ENSP00000349541,769
4444904,9606.ENSP00000366798,765
4442650,9606.ENSP00000355315,764
4440659,9606.ENSP00000335304,762
4439351,9606.ENSP00000320295,759
4447764,9606.ENSP00000392718,754
4438499,9606.ENSP00000309431,753
4438559,9606.ENSP00000310111,748
4446425,9606.ENSP00000378957,747
4450150,9606.ENSP00000445175,743
4445602,9606.ENSP00000371230,742
4444702,9606.ENSP00000365439,740
4449349,9606.ENSP00000426119,729
4434880,9606.ENSP00000261448,728
4438030,9606.ENSP00000304229,726
4438847,9606.ENSP00000313199,722
4433407,9606.ENSP00000228318,721
4437775,9606.ENSP00000301587,720
4438372,9606.ENSP00000307940,719
4435245,9606.ENSP00000263368,714
4447763,9606.ENSP00000392709,709
4432848,9606.ENSP00000211998,707
4438518,9606.ENSP00000309565,705
4434937,9606.ENSP00000261733,698
4435671,9606.ENSP00000265983,698
4445095,9606.ENSP00000367923,697
4434215,9606.ENSP00000252242,692
4434630,9606.ENSP00000258424,692
4449553,9606.ENSP00000430656,689
4441769,9606.ENSP00000347852,689
4433668,9606.ENSP00000236850,688
4435600,9606.ENSP00000265395,688
4447799,9606.ENSP00000393453,686
4451478,9606.ENSP00000480359,681
4435517,9606.ENSP00000264932,680
4433327,9606.ENSP00000225665,680
4432860,9606.ENSP00000215565,675
4448260,9606.ENSP00000403172,675
4442467,9606.ENSP00000354468,675
4445499,9606.ENSP00000370517,674
4445298,9606.ENSP00000369317,673
4434483,9606.ENSP00000256441,672
4440982,9606.ENSP00000339740,669
4436853,9606.ENSP00000290299,667
4446489,9606.ENSP00000379350,665
4439901,9606.ENSP00000327145,664
4434352,9606.ENSP00000254301,659
4436650,9606.ENSP00000285930,658
4433873,9606.ENSP00000243997,657
4434218,9606.ENSP00000252250,655
4438304,9606.ENSP00000307241,655
4445606,9606.ENSP00000371267,655
4449470,9606.ENSP00000428845,653
4447279,9606.ENSP00000385834,650
4443164,9606.ENSP00000357722,649
4433579,9606.ENSP00000233143,646
4449031,9606.ENSP00000419325,646
4433665,9606.ENSP00000236671,637
4445281,9606.ENSP00000369176,635
4433244,9606.ENSP00000222673,635
4446116,9606.ENSP00000376886,635
4439104,9606.ENSP00000317159,633
4441891,9606.ENSP00000349142,630
4437578,9606.ENSP00000299518,630
4434219,9606.ENSP00000252252,628
4435009,9606.ENSP00000262113,626
4439955,9606.ENSP00000327801,625
4441190,9606.ENSP00000341826,624
4435881,9606.ENSP00000269321,621
4434257,9606.ENSP00000252825,610
4443194,9606.ENSP00000357801,608
4443709,9606.ENSP00000360305,608
4438964,9606.ENSP00000315013,608
4439395,9606.ENSP00000320866,607
4440933,9606.ENSP00000339191,605
4445297,9606.ENSP00000369314,604
4444796,9606.ENSP00000366109,599
4443663,9606.ENSP00000360124,599
4433303,9606.ENSP00000225174,599
4444380,9606.ENSP00000363500,596
4435232,9606.ENSP00000263277,595
4441075,9606.ENSP00000340736,595
4437273,9606.ENSP00000296412,594
4442633,9606.ENSP00000355228,594
4437293,9606.ENSP00000296503,587
4443372,9606.ENSP00000358727,586
4440740,9606.ENSP00000336829,584
4446457,9606.ENSP00000379157,574
4446934,9606.ENSP00000382518,573
4447479,9606.ENSP00000387176,572
4437661,9606.ENSP00000300289,565
4440987,9606.ENSP00000339795,564
4445223,9606.ENSP00000368808,563
4439113,9606.ENSP00000317257,563
4436923,9606.ENSP00000291577,560
4438276,9606.ENSP00000306997,559
4445590,9606.ENSP00000371152,559
4436066,9606.ENSP00000273258,558
4434707,9606.ENSP00000259469,558
4448731,9606.ENSP00000414359,557
4433964,9606.ENSP00000246069,556
4434700,9606.ENSP00000259396,556
4440978,9606.ENSP00000339720,552
4433489,9606.ENSP00000230048,551
4446434,9606.ENSP00000379011,550
4449622,9606.ENSP00000432282,550
4443160,9606.ENSP00000357709,549
4438237,9606.ENSP00000306606,546
4436498,9606.ENSP00000282541,543
4440890,9606.ENSP00000338703,539
4440206,9606.ENSP00000330737,539
4448690,9606.ENSP00000413436,539
4445108,9606.ENSP00000367992,536
4442507,9606.ENSP00000354632,529
4432924,9606.ENSP00000216181,527
