internal_id,string_external_id,abundance
4440511,9606.ENSP00000333994,26186
4434183,9606.ENSP00000251595,20003
4439524,9606.ENSP00000322421,20003
4437198,9606.ENSP00000295834,17506
4445428,9606.ENSP00000370010,16513
4438237,9606.ENSP00000306606,14041
4437206,9606.ENSP00000295897,12089
4444463,9606.ENSP00000363988,11501
4435613,9606.ENSP00000265512,9638
4432830,9606.ENSP00000209668,8776
4448239,9606.ENSP00000402608,8715
4434854,9606.ENSP00000261313,8505
4433451,9606.ENSP00000229239,7119
4436619,9606.ENSP00000285093,6052
4435927,9606.ENSP00000270142,5864
4445365,9606.ENSP00000369654,5763
4442386,9606.ENSP00000353720,5522
4444869,9606.ENSP00000366525,5135
4440697,9606.ENSP00000335620,4786
4435651,9606.ENSP00000265838,4497
4443311,9606.ENSP00000358414,4409
4445814,9606.ENSP00000373620,4257
4445357,9606.ENSP00000369609,4237
4434937,9606.ENSP00000261733,4136
4437874,9606.ENSP00000302620,4039
4433634,9606.ENSP00000234590,4014
4440919,9606.ENSP00000339063,3617
4439666,9606.ENSP00000324173,3588
4437436,9606.ENSP00000297785,3575
4434993,9606.ENSP00000262030,3385
4433456,9606.ENSP00000229270,3338
4450595,9606.ENSP00000458162,3315
4441991,9606.ENSP00000349960,3291
4439919,9606.ENSP00000327431,3201
4437953,9606.ENSP00000303356,3178
4433608,9606.ENSP00000233893,3093
4446521,9606.ENSP00000379512,3076
4449041,9606.ENSP00000419425,3058
4441216,9606.ENSP00000342026,2995
4443119,9606.ENSP00000357535,2903
4445799,9606.ENSP00000373487,2877
4436127,9606.ENSP00000274353,2865
4442746,9606.ENSP00000355778,2794
4433793,9606.ENSP00000241052,2749
4434387,9606.ENSP00000254810,2731
4435133,9606.ENSP00000262746,2672
4443929,9606.ENSP00000361471,2658
4439955,9606.ENSP00000327801,2643
4437770,9606.ENSP00000301522,2597
4434392,9606.ENSP00000254878,2566
4436266,9606.ENSP00000277865,2550
4433326,9606.ENSP00000225655,2532
4440154,9606.ENSP00000330074,2510
4449091,9606.ENSP00000420168,2452
4438861,9606.ENSP00000313432,2434
4441169,9606.ENSP00000341625,2416
4450150,9606.ENSP00000445175,2372
4435781,9606.ENSP00000267814,2271
4449347,9606.ENSP00000426083,2252
4437619,9606.ENSP00000300026,2216
4450285,9606.ENSP00000449404,2144
4439895,9606.ENSP00000327070,2126
4433579,9606.ENSP00000233143,2112
4444540,9606.ENSP00000364490,2092
4448472,9606.ENSP00000408025,2090
4446805,9606.ENSP00000381386,2087
4443194,9606.ENSP00000357801,2080
4450194,9606.ENSP00000446252,2080
4441649,9606.ENSP00000346694,2047
4439395,9606.ENSP00000320866,2044
4434059,9606.ENSP00000248553,2023
4450181,9606.ENSP00000446007,1994
4433923,9606.ENSP00000245206,1993
4444406,9606.ENSP00000363641,1991
4441926,9606.ENSP00000349446,1931
4446852,9606.ENSP00000381736,1921
4437604,9606.ENSP00000299767,1839
4450267,9606.ENSP00000448785,1793
4436927,9606.ENSP00000291670,1776
4449639,9606.ENSP00000432660,1771
4440890,9606.ENSP00000338703,1770
4433130,9606.ENSP00000220764,1769
4437661,9606.ENSP00000300289,1761
4443166,9606.ENSP00000357727,1749
4443211,9606.ENSP00000357873,1697
4451441,9606.ENSP00000480004,1686
4448813,9606.ENSP00000416066,1675
4432982,9606.ENSP00000216780,1652
4441580,9606.ENSP00000346032,1628
4440966,9606.ENSP00000339566,1628
4449888,9606.ENSP00000439012,1599
4434216,9606.ENSP00000252244,1584
4442650,9606.ENSP00000355315,1527
4433668,9606.ENSP00000236850,1511
4448989,9606.ENSP00000418770,1491
4438030,9606.ENSP00000304229,1469
4435245,9606.ENSP00000263368,1464
4440473,9606.ENSP00000333664,1462
4451332,9606.ENSP00000478828,1454
4447279,9606.ENSP00000385834,1431
4446342,9606.ENSP00000378359,1417
4449224,9606.ENSP00000422607,1405
4438348,9606.ENSP00000307705,1403
4437376,9606.ENSP00000297185,1400
4447650,9606.ENSP00000390265,1376
4444160,9606.ENSP00000362413,1371
4432704,9606.ENSP00000168216,1355
